id,homeAbbrev,awayAbbrev,est
2024020457,BUF,NYR,2024 December 11 19:00:00
2024020458,OTT,ANA,2024 December 11 19:30:00
2024020459,TOR,ANA,2024 December 12 19:00:00
2024020460,MTL,PIT,2024 December 12 19:00:00
2024020461,NJD,LAK,2024 December 12 19:00:00
2024020462,PHI,DET,2024 December 12 19:00:00
2024020463,CBJ,WSH,2024 December 12 19:00:00
2024020464,NYI,CHI,2024 December 12 19:30:00
2024020465,STL,SJS,2024 December 12 20:00:00
2024020466,DAL,NSH,2024 December 12 20:00:00
2024020467,MIN,EDM,2024 December 12 20:30:00
2024020468,WPG,VGK,2024 December 12 20:00:00
2024020469,COL,UTA,2024 December 12 21:00:00
2024020470,CGY,TBL,2024 December 12 21:00:00
2024020471,VAN,FLA,2024 December 12 22:00:00
2024020472,SEA,BOS,2024 December 12 22:00:00
2024020473,CAR,OTT,2024 December 13 19:00:00
2024020474,NJD,CHI,2024 December 14 13:00:00
2024020475,NYR,LAK,2024 December 14 13:00:00
2024020476,MIN,PHI,2024 December 14 14:00:00
2024020477,EDM,VGK,2024 December 14 16:00:00
2024020478,OTT,PIT,2024 December 14 19:00:00
2024020479,DET,TOR,2024 December 14 19:00:00
2024020480,WSH,BUF,2024 December 14 19:00:00
2024020481,CBJ,ANA,2024 December 14 19:00:00
2024020482,WPG,MTL,2024 December 14 19:00:00
2024020483,DAL,STL,2024 December 14 20:00:00
2024020484,COL,NSH,2024 December 14 21:00:00
2024020485,CGY,FLA,2024 December 14 22:00:00
2024020486,VAN,BOS,2024 December 14 22:00:00
2024020487,SJS,UTA,2024 December 14 22:00:00
2024020488,SEA,TBL,2024 December 14 22:00:00
2024020489,CHI,NYI,2024 December 15 15:00:00
2024020490,TOR,BUF,2024 December 15 17:00:00
2024020491,CAR,CBJ,2024 December 15 17:00:00
2024020492,STL,NYR,2024 December 15 18:00:00
2024020493,MIN,VGK,2024 December 15 18:00:00
2024020494,DAL,WSH,2024 December 16 20:00:00
2024020495,EDM,FLA,2024 December 16 20:30:00
2024020496,VAN,COL,2024 December 16 22:30:00
2024020497,MTL,BUF,2024 December 17 19:00:00
2024020498,TBL,CBJ,2024 December 17 19:00:00
2024020499,PIT,LAK,2024 December 17 19:00:00
2024020500,CAR,NYI,2024 December 17 19:30:00
2024020501,STL,NJD,2024 December 17 20:00:00
2024020502,NSH,NYR,2024 December 17 20:00:00
